account-name,posten-id,posten-ersatz,posten-laufzeit,posten-verlängerung,posten-Kündigungsfrist,posten-beginn,posten-ende,posten-status,posten-preis-mrc,posten-preis-nrc,posten-name,posten-beschreibung,AltePostenIDExcel_DC1_REF,Gnom_ID,Netz,GW Kommentar
20028,100020,n/a,1,1,2,01.05.2022,,aktiv," 190,87 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen Side-A (Büro): Dorotheenstr. 10, 70173 Stuttgart Side-B (Globalways): NB8, Kundenrack im Rechenzentrum Port-Specification: 10.000 Mbit/s 10Gbase-SR (850nm Multimode 10Gbit) Max. Bandwidth: 10.000 Mbit/s Fullduplex Redundante Wegeführung UND getrennte Hauseinführung zur Verbindung aus Vertrag #5156. Change Side-B des Auftrag Nr. 6829-001 auf NB8 gemäß Angebot 7474-001. Wegeführung über Goerdelerstraße, Planie, Königstr., NB8",100020_12154_V6829_P12956,None,None,
20028,100021,n/a,1,1,2,01.05.2022,,aktiv," 97,05 € ", -   € ,AlienWave,"Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: Breuninger, Marktstr. 1-3 Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen.",100021_12154_V12447_P54152,G-4PWWG1G5,None,redundant zu G-FEMRIWK1
20028,100022,n/a,1,1,2,01.05.2022,,aktiv," 80,88 € ", -   € ,AlienWave,"Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: Breuninger, Marktstr. 1-3 Site-B: RZ NB8 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen.",100022_12154_V12447_P54154,G-FEMRIWK1,None,redundant zu G-4PWWG1G5
20028,100023,n/a,1,1,2,01.05.2022,,aktiv," 88,97 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100023_12154_V33075_P21006,G-5H84SMI8,None,
20028,100024,n/a,1,1,2,01.05.2022,,aktiv," 59,31 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100024_12154_V33075_P21006,G-N2KV4V7C,None,
20028,100025,n/a,1,1,2,01.05.2022,,aktiv," 59,31 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100025_12154_V33075_P21006,G-WUPBUOA6,None,
20028,100026,n/a,1,1,2,01.05.2022,,aktiv," 59,31 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100026_12154_V33075_P21006,G-Y1QHJB02,None,
20028,100027,n/a,1,1,2,01.05.2022,,aktiv," 59,31 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100027_12154_V33075_P21006,G-88Y7GBHZ,None,
20028,100028,n/a,1,1,2,01.05.2022,,aktiv," 59,31 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100028_12154_V33075_P21006,G-JWPQ70KC,None,
20028,100029,n/a,1,1,2,01.05.2022,,aktiv," 59,31 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100029_12154_V33075_P21006,G-O3AJK5BC,None,
20028,100030,n/a,1,1,2,01.05.2022,,aktiv," 59,31 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (EAST),100030_12154_V33075_P21006,G-ZX7UXY5K,None,
20028,100031,n/a,1,1,2,01.05.2022,,aktiv," 137,17 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100031_12154_V33075_P21022,G-78V0RIA6,None,
20028,100032,n/a,1,1,2,01.05.2022,,aktiv," 91,66 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100032_12154_V33075_P21022,G-820HVTJ2,None,
20028,100033,n/a,1,1,2,01.05.2022,,aktiv," 91,66 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100033_12154_V33075_P21022,G-MOIRV5CR,None,
20028,100034,n/a,1,1,2,01.05.2022,,aktiv," 91,66 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100034_12154_V33075_P21022,G-PK6QO77C,None,
20028,100035,n/a,1,1,2,01.05.2022,,aktiv," 91,66 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100035_12154_V33075_P21022,G-5HVRGX37,None,
20028,100036,n/a,1,1,2,01.05.2022,,aktiv," 91,66 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100036_12154_V33075_P21022,G-7SM1L8CC,None,
20028,100037,n/a,1,1,2,01.05.2022,,aktiv," 91,66 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100037_12154_V33075_P21022,G-CG6DEQFY,None,
20028,100038,n/a,1,1,2,01.05.2022,,aktiv," 91,66 € ", -   € ,AlienWave,Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: Site-A: RZ NB8 Cage Breuninger Site-B: RZ GRP10 Cage Breuninger Service: 10 Gigabit Multirate (10G Ethernet oder 8G Fibre Channel) Übergabe Port: 850nm Multimode Verbindung verläuft kantendisjunkt zu den Wellenlängen der nach den anderen Himmelsrichtungen benannten Wellenlängen. (WEST),100038_12154_V33075_P21022,G-OQMSH54Q,None,
20028,100039,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Rotebühlplatz 25, Stuttgart B-Ende: DC1 Rechenzentrum NB8, Bandwidth: 1.000 Mbit/s Fullduplex",100039_12154_V125235_P62351,G-AKUZP7P5,None,
20028,100040,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Marktstraße 6, Stuttgart B-Ende: DC1 Rechenzentrum NB8, Bandwidth: 1.000 Mbit/s Fullduplex",100040_12154_V124413_P55132,G-17VA2QCU,None,
20028,100042,n/a,1,1,2,01.05.2022,,aktiv, -   € , -   € ,Inhouse-Verkabelung,"IH-3, Runtime: 0, Datacenter Location: Andere, Customer Location: Kabelzug eines Single Mode Glasfaserkabels nach ITU-T G.652 vom Netzabschluss (Wandbox) bis zum Serverschrank des Kunden",100042_12154_V125913_P62734,None,None,
20026,100043,n/a,1,1,2,01.05.2022,,aktiv," 10,00 € "," 50,00 € ",IP_28,"Öffentliches /28 IPv4 Netz, 14 Nutzbare Adressen",100043_12166_V125639_P63181,None,94.186.152.112/28,
20026,100044,n/a,1,1,2,01.05.2022,,aktiv," 20,00 € "," 50,00 € ",IP_27,"Öffentliches /27 IPv4 Netz, 30 Nutzbare Adressen",100044_12166_V125639_P63180,None,94.186.168.96/27,
20028,100041,n/a,1,1,2,01.01.2021,31.05.2021,aktiv-gekündigt," 126,17 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Bülow Turm - Heilbronner Straße 190, 70191 Stuttgart B-Ende: (Haupthaus): Marktstr. 1 - 3, 70173 Stuttgart Port-Specification: 1.000 Mbit/s Copper RJ45 Max. Bandwidth: 1.000 Mbit/s Fullduplex",100041_12154_V33024_P21096,None,None,
20026,100045,n/a,1,1,2,01.05.2022,,aktiv," 10,00 € "," 50,00 € ",IP_28,"Öffentliches /28 IPv4 Netz, 14 Nutzbare Adressen",100045_12166_V125147_P61651,None,94.186.213.16/28,
20026,100046,n/a,1,1,2,01.05.2022,,aktiv," 10,00 € "," 50,00 € ",IP_28,"Öffentliches /28 IPv4 Netz, 14 Nutzbare Adressen",100046_12166_V125225_P61673,None,94.186.232.80/28,
20026,100047,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100047_12166_V125225,None,94.186.234.0/29,
20026,100048,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100048_12166_V125462,None,94.186.234.8/29,
20026,100049,n/a,1,1,2,01.05.2022,,aktiv," 10,00 € "," 50,00 € ",BP,BGP Routing mit Full Table,100049_12166_V125147_P61648,None,None,94.186.213.2/31
20026,100050,n/a,1,1,2,01.05.2022,,aktiv," 20,00 € "," 50,00 € ",BF,BGP Routing mit Full Table,100050_12166_V33437,None,None,94.186.207.172/31
20026,100051,n/a,1,1,2,01.05.2022,,aktiv," 20,00 € "," 50,00 € ",BF,BGP Routing mit Full Table,100051_12166_V33437,None,None,94.186.228.96/31
20026,100052,n/a,1,1,2,01.05.2022,,aktiv," 20,00 € "," 50,00 € ",BF,BGP Routing mit Full Table,100052_12166_V125147,None,None,94.186.213.50/31
20028,100056,n/a,1,1,2,01.05.2022,,aktiv," 107,84 € ", -   € ,AlienWave,"Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: A-Ende: Albstadtweg 9, Stuttgart B-Ende: DC1 Rechenzentrum NB8 EAST",100056_12375_V1706_P2205,G-6LFU1BHK,None,
20028,100057,n/a,1,1,2,01.05.2022,,aktiv," 144,78 € ", -   € ,AlienWave,"Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: A-Ende: Albstadtweg 9, Stuttgart B-Ende: DC1 Rechenzentrum NB8 WEST",100057_12375_V2608_P8216,G-DSWJZCFE,None,
20028,100058,n/a,1,1,2,01.05.2022,,aktiv," 161,76 € ", -   € ,AlienWave,"Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: A-Ende: Albstadtweg 9, Stuttgart B-Ende: DC1 Rechenzentrum NB8 EAST",100058_12375_V2851_P8794,G-90A70X5G,None,
20028,100059,n/a,1,1,2,01.05.2022,,aktiv," 104,34 € ", -   € ,AlienWave,"Bereitstellung ITU-TS Rec. G.694.2 Wellenlänge auf der Strecke: A-Ende: Albstadtweg 9, Stuttgart B-Ende: DC1 Rechenzentrum NB8 WEST",100059_12375_V2851_P8795,G-R1OYK9V0,None,
20028,100060,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroInternet,"MetroInternet Albstadtweg 11, 70567 Stuttgart, Bandwidth: 1.000 Mbit/s",100060_12375_V35350_P62403,None,None,"1GBit/s symmetrisch MetroInternet, 1000BASE-T Port, /31 IPv4"
20028,100061,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100061_12375_V35350_P62404,G-0YW6EZ6F,94.186.234.40/29,Referenz im Gnom auf falschen Vertrag (Wurde über Teilbereitstellung realisiert)
20028,100062,n/a,1,1,2,01.05.2022,,aktiv," 1.183,35 € "," 2.285,80 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Gert-Magnus-Platz 1, 68163 Mannheim B-Ende: Albstadtweg 9, Stuttgart, Bandwidth: 1.000 Mbit/s Fullduplex - Primär",100062_12375_V125510_P62277,None,n/a,
20028,100063,n/a,1,1,2,01.05.2022,,aktiv," 1.093,05 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Gert-Magnus-Platz 1, 68163 Mannheim B-Ende: Albstadtweg 9, Stuttgart, Bandwidth: 1.000 Mbit/s Fullduplex - Backup",100063_12375_V125510_P62278,None,n/a,
20028,100064,n/a,1,1,2,01.05.2022,,aktiv," 998,55 € "," 2.200,00 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Am Mantel 4a, 76646 Bruchsal B-Ende: Albstadtweg 9, Stuttgart, Bandwidth: 1.000 Mbit/s Fullduplex - Primär",100064_12375_V125529_P62290,G-UTNWN5X3,n/a,
20028,100065,n/a,1,1,2,01.05.2022,,aktiv," 1.523,55 € "," 2.200,00 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Am Mantel 4a, 76646 Bruchsal B-Ende: Albstadtweg 9, Stuttgart, Bandwidth: 1.000 Mbit/s Fullduplex - Backup",100065_12375_V125529_P62293,G-VAZCL29Z,n/a,
20028,100066,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Seidenstr. 19, Stuttgart B-Ende: Forststr. 7, Stuttgart, Bandwidth: 1.000 Mbit/s",100066_12448_V125188_P56398,G-GV6ABICF,n/a,
20028,100067,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroInternet,"MetroInternet Seidenstr. 19, Stuttgar, Bandwidth: 1.000 Mbit/s",100067_12448_V125318_P61729,G-DOFQX3GT,n/a,
20028,100068,n/a,1,1,2,01.05.2022,,aktiv," 1,50 € "," 50,00 € ",IP_31,"Öffentliches /31 IPv4 Netz, 2 Nutzbare Adressen",100068_12448_V125318_P61729,None,94.186.195.90/31,
20028,100069,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100069_12448_V125318_P61729,G-DOFQX3GT,94.186.197.24/29,
20028,100070,n/a,1,1,2,01.05.2022,,aktiv," 5,00 € "," 50,00 € ",IP_29,"Öffentliches /29 IPv4 Netz, 6 Nutzbare Adressen",100070_12485_V9638_P17130,None,94.186.183.144/29,
20028,100071,n/a,1,1,2,01.05.2022,,aktiv," 1,50 € "," 50,00 € ",IP_31,"Öffentliches /31 IPv4 Netz, 2 Nutzbare Adressen",100071_12485_V9133,G-GM34R4EG,94.186.183.158/31,
20028,100072,n/a,1,1,2,01.05.2022,,aktiv," 1,50 € "," 50,00 € ",IP_31,"Öffentliches /31 IPv4 Netz, 2 Nutzbare Adressen",100072_12485_V9133,G-YV62UTLD,94.186.183.192/31,
20028,100073,n/a,1,1,2,01.05.2022,,aktiv," 25,00 € "," 50,00 € ",MV,Connectivity+ BGP Router / VPN Router,100073_12485_V9133_P17136,None,,
20028,100074,n/a,1,1,2,01.05.2022,,aktiv," 25,00 € "," 50,00 € ",MV,Connectivity+ BGP Router / VPN Router,100074_12485_V9133_P17137,None,,
20028,100076,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Gropiusplatz 10, Stuttgart B-Ende: Börsenplatz 1, 70174 Stuttgart, Bandwidth: 1.000 Mbit/s",100076_12485_V124606_P55357,G-60K7YWWC,,
20028,100079,n/a,1,1,2,01.05.2022,,aktiv," 190,87 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Gropiusplatz 10, Stuttgart B-Ende: Breitscheidstraße 65 70176 Stuttgart, Bandwidth: 10.000 Mbit/s",100079_12485_V125069_P56204,G-CN2J23IC,,
20028,100080,n/a,1,1,2,01.05.2022,,aktiv," 772,80 € "," 1.100,00 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Gropiusplatz 10, Stuttgart B-Ende: Herzog-Rudolf-Straße 1, 80539 München, Bandwidth: 1.000 Mbit/s",100080_12485_V125621_P62284,G-9UNWGJGH,,
20028,100081,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Gropiusplatz 10, Stuttgart B-Ende: Neckarstraße 155a, 70190 Stuttgart, Bandwidth: 1.000 Mbit/s",100081_12485_V125761_P62544,G-Y27X09S2,,
20028,100083,n/a,1,1,2,01.05.2022,,aktiv," 126,17 € ", -   € ,MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Rotebühlstraße 77, Stuttgart B-Ende: Neue Brücke 8, Stuttgart, Bandwidth: 1.000 Mbit/s",100083_12507_V126087_P63943,G-WI4XNH0K,,
20028,100085,n/a,1,1,2,01.05.2022,,aktiv," 20,00 € "," 50,00 € ",IP_27,"Öffentliches /27 IPv4 Netz, 30 Nutzbare Adressen",100085_12507_V126087_P63944,G-UNT0G4YZ,94.186.152.96/28,Kein Netz im Gnom registriert?
20028,100075,n/a,1,1,2,01.01.2020,31.12.2020,ausgelaufen-posten_ist_ausgelaufen," 35,00 € "," 50,00 € ",RIPE,RIPE Mitgliedschaft,100075_12485_V9628_P17467,None,,Ripe bei DC1?
20026,100088,n/a,1,1,2,01.01.2021,31.03.2022,ausgelaufen-posten_ist_ausgelaufen," 1,50 € "," 50,00 € ",IP_31,"Öffentliches /31 IPv4 Netz, 2 Nutzbare Adressen",100088_12542,G-WL6U3M67,94.186.213.6/31,Keinen korrespondierender DC1 Vertragsposten vorhanden
20028,100077,100080,1,1,2,01.01.2020,23.06.2020,ausgelaufen-posten_wurde_ersetzt," 300,40 € "," 470,80 € ",MetroEthernet,"Transparente Ethernetverbindung zwischen A-Ende: Gropiusplatz 10, Stuttgart B-Ende: Herzog-Rudolf-Straße 1, 80539 München, Bandwidth: 100 Mbit/s",100077_12485_V124606_P55358,G-9UNWGJGH,,
